[2026-07-21T07:55:09.398Z] GET http://localhost:5199/src/engine/types.ts → 200 (?ms, ?B)
[2026-07-21T07:55:09.398Z] GET http://localhost:5199/src/engine/sim.ts → 200 (1ms, ?B)
[2026-07-21T07:55:09.398Z] GET http://localhost:5199/node_modules/.vite/deps/peerjs.js?v=45304e2e → 200 (1ms, -265B)
[2026-07-21T07:55:09.398Z] GET http://localhost:5199/src/net/protocol.ts → 200 (1ms, ?B)
[2026-07-21T07:55:09.398Z] GET http://localhost:5199/src/engine/titles.ts → 200 (1ms, ?B)
[2026-07-21T07:55:09.398Z] GET http://localhost:5199/src/sound.ts → 200 (1ms, ?B)
[2026-07-21T07:55:09.398Z] GET http://localhost:5199/src/components/CandleChart.tsx → 200 (1ms, ?B)
[2026-07-21T07:55:09.398Z] GET http://localhost:5199/src/components/RankBar.tsx → 200 (1ms, ?B)
[2026-07-21T07:55:09.421Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNOwtW_WpzEpMs.woff2 → 200 (?ms, -815B)
[2026-07-21T07:55:09.435Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3pQPwlBFgsAXHNk.woff2 → 200 (?ms, -815B)
[2026-07-21T07:55:09.435Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q131nj-o.woff2 → 200 (1ms, -815B)
[2026-07-21T07:55:09.435Z] GET https://fonts.gstatic.com/s/blackhansans/v24/ea8Aad44WunzF9a-dL6toA8r8kqSK3WGHPHd.woff2 → 200 (1ms, -814B)
[2026-07-21T07:55:09.435Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6aT7HmqeHWdb8.woff2 → 200 (1ms, -815B)
[2026-07-21T07:55:09.435Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgsAXHNk.woff2 → 200 (1ms, -815B)
[2026-07-21T07:55:09.435Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFK2-VJISZe3O_rc3ZVYh4aTwNOwtu_WpzEpMvsfA.woff2 → 200 (1ms, -813B)
[2026-07-21T07:55:09.468Z] GET https://fonts.gstatic.com/s/archivoblack/v23/HTxqL289NzCGg4MzN6KJ7eW6CYyF_jzx13E.woff2 → 200 (1ms, -814B)
[2026-07-21T07:55:12.564Z] GET https://0.peerjs.com/peerjs/id?ts=17846205125620.31392643279551125&version=1.5.5 → 200 (66ms, 553B)
[2026-07-21T07:55:13.494Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOyiacT7HmqeHWdb8.woff2 → 200 (26ms, 11903B)
[2026-07-21T07:55:13.494Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.119.woff2 → 200 (?ms, -814B)
[2026-07-21T07:55:13.494Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.118.woff2 → 200 (?ms, -814B)
[2026-07-21T07:55:13.494Z] GET https://fonts.gstatic.com/s/ibmplexsanskr/v11/vEFN2-VJISZe3O_rc3ZVYh4aTwNOym6af7PsrsPUP62-BDGSOx3Zo0ZH77lI-3AJG-Q.111.woff2 → 200 (1ms, -814B)
[2026-07-21T07:55:33.878Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1iEq131nj-otFQ.woff2 → 200 (28ms, 8887B)
[2026-07-21T07:55:33.878Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1iEq131nj-otFQ.woff2 → 200 (28ms, -814B)
[2026-07-21T07:55:53.295Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3pQPwl5FgsAXHNlYzg.woff2 → 200 (19ms, -814B)
